,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0,0.737332424,27,0,120.0,1.0,4,0,0,0,0.0
1,1,0.709678487,53,0,0.810506312,7366.0,12,0,4,0,2.0
2,1,0.235950701,32,0,0.292376682,2229.0,9,0,0,0,0.0
3,1,0.9999999,58,0,0.003552972,3095.0,0,2,0,0,2.0
4,0,0.103752336,53,0,0.304674255,4128.0,10,0,2,0,0.0
5,1,0.9999999,38,1,0.005524862,3076.0,1,0,0,1,0.0
6,1,0.235309434,54,2,0.224577542,10000.0,12,0,1,0,0.0
7,1,0.239286893,58,0,0.204698825,4000.0,9,0,1,0,1.0
8,0,0.286690995,41,2,2688.0,,10,0,2,0,0.0
9,1,0.427799297,52,0,0.266577807,3000.0,6,1,1,0,0.0
10,0,0.0,46,1,0.343241176,9150.0,6,0,1,0,3.0
11,0,0.775755449,41,2,0.503012434,7800.0,11,0,2,0,0.0
12,1,0.943660038,44,0,0.638451253,17200.0,16,0,4,0,2.0
13,0,0.224752551,61,0,0.637318659,3997.0,7,0,2,0,1.0
14,0,0.079292201,76,0,0.124238508,10833.0,15,0,1,0,0.0
15,0,0.293765008,67,0,2682.0,,8,0,2,0,0.0
16,1,0.961293067,25,0,0.100346021,2600.0,5,0,0,0,0.0
17,0,0.482429575,63,0,0.075350415,11200.0,5,0,0,0,0.0
18,1,0.9999999,46,0,0.0,0.0,0,2,0,0,3.0
19,1,0.0,70,0,0.958402662,600.0,4,0,0,1,0.0
20,0,0.139996111,52,1,0.494322214,5635.0,16,0,3,0,0.0
21,1,0.01557659,80,0,0.364702673,3665.0,11,0,2,0,1.0
22,1,0.987668722,39,5,0.691279186,5010.0,14,0,2,0,2.0
23,0,0.135153013,63,0,5488.0,,8,0,3,0,0.0
24,1,0.069682744,47,0,0.414296134,5483.0,13,3,2,0,2.0
25,1,1.1005996,53,1,0.772305496,1400.0,4,1,0,2,0.0
26,1,0.9999999,31,0,0.197782705,2254.0,2,0,0,0,1.0
27,0,0.976011994,24,0,0.027756059,2557.0,3,0,0,0,0.0
28,0,0.372062551,60,0,0.189615584,13500.0,8,0,0,0,0.0
29,0,0.023292237,86,0,0.000761171,22333.0,4,0,0,0,0.0
30,1,0.024654996,51,3,5200.0,0.0,22,0,2,0,0.0
31,1,1.045908184,23,0,0.007116232,2950.0,2,0,0,0,1.0
32,0,0.0,67,0,101.0,,12,0,0,0,0.0
33,1,0.972809113,47,0,0.99140172,5000.0,10,0,2,0,0.0
34,0,0.0,77,0,7.0,,4,0,0,0,
35,0,0.978813101,39,0,0.299549108,5100.0,7,0,0,0,2.0
36,1,0.419681621,31,0,0.03824044,4000.0,5,0,0,1,2.0
37,1,0.886037827,42,4,0.952783789,5082.0,7,0,1,1,3.0
38,0,0.0,60,0,1424.0,,4,0,1,0,0.0
39,1,0.0,44,0,0.242237888,13333.0,15,0,2,0,1.0
40,0,0.03399381,77,0,0.42676604,3085.0,8,0,1,0,0.0
41,1,0.157824342,29,0,0.353558926,1713.0,15,0,0,0,0.0
42,1,0.9999999,36,0,4.0,,3,1,0,0,
43,0,0.0,67,0,0.415429955,9500.0,11,0,2,0,1.0
44,1,0.9999999,61,1,2598.0,,2,4,1,1,0.0
45,1,0.9999999,23,0,0.0,1760.0,0,1,0,0,0.0
46,0,0.0,44,0,0.557456035,4150.0,15,0,3,0,2.0
47,0,0.063137088,41,0,521.0,,4,0,0,0,0.0
48,0,0.747178118,41,0,0.452769298,11464.0,13,0,1,0,1.0
49,0,0.054142357,46,0,4407.0,,14,0,3,0,0.0
50,1,0.950401889,45,1,1.531841652,1742.0,8,0,1,0,0.0
51,0,0.030652773,43,0,0.001968708,9650.0,2,0,0,0,0.0
52,0,0.062238534,74,1,0.278375884,3250.0,11,0,1,0,0.0
53,1,0.974471631,38,0,0.264493362,5950.0,6,0,0,0,0.0
54,0,0.014386735,66,0,0.451754825,10000.0,8,0,3,0,1.0
55,1,0.508839354,52,0,0.096359743,1400.0,3,0,0,0,0.0
56,0,0.000578937,74,0,0.087076374,6166.0,7,0,1,0,0.0
57,0,0.9999999,61,0,477.0,,1,0,1,0,1.0
58,0,0.9999999,29,0,0.06104034,3767.0,1,0,0,0,3.0
59,1,1.07153922,49,2,0.396419437,3518.0,8,3,0,0,0.0
60,0,0.25205005,51,0,0.418215127,7641.0,13,0,1,0,2.0
61,0,0.823073066,45,0,0.349254531,11200.0,9,0,1,0,0.0
62,0,0.0,59,0,3131.0,,7,0,2,0,0.0
63,1,0.807172946,55,5,0.332384699,11946.0,14,0,3,0,1.0
64,1,0.971434849,44,7,0.797264682,8700.0,16,0,1,2,0.0
65,1,0.9999999,68,1,0.786108919,1266.0,4,0,3,1,0.0
66,0,0.937306893,35,0,0.215223097,2666.0,8,0,0,0,0.0
67,0,0.099161178,57,1,0.368764101,15955.0,12,0,2,0,1.0
68,0,0.001148571,59,0,3024.0,,6,0,2,0,2.0
69,1,0.23977376,33,0,0.153938425,2500.0,4,0,0,0,0.0
70,1,0.944111776,33,2,0.205128205,6200.0,4,1,0,1,0.0
71,1,1.08448721,49,3,0.169595314,7511.0,13,0,0,0,1.0
72,0,0.318689627,58,0,0.343461424,10070.0,15,0,1,0,1.0
73,0,0.0257425,57,0,0.144462432,10500.0,17,0,1,0,0.0
74,0,0.0,68,0,6260.0,,13,0,4,0,0.0
75,0,0.110216825,51,0,0.317666539,7850.0,13,0,2,0,3.0
76,0,0.763603831,51,0,0.510064516,7749.0,19,0,1,0,0.0
77,1,0.728895367,74,0,0.680479826,5501.0,15,0,3,0,0.0
78,0,0.020877285,42,0,0.098066029,5118.0,5,0,0,0,5.0
79,1,0.9999999,61,0,97.0,,2,0,0,0,0.0
80,1,0.770871521,31,2,0.151744057,4500.0,5,0,0,0,1.0
81,0,0.020199997,66,0,0.433879345,2502.0,10,0,1,0,1.0
82,0,0.0,37,0,0.507123219,4000.0,6,0,1,0,0.0
83,1,0.9999999,35,0,0.044888798,4900.0,3,1,0,0,0.0
84,1,0.9999999,41,1,0.055322129,8567.0,2,1,0,1,3.0
85,1,0.999946817,41,3,0.504279658,12500.0,6,3,1,1,0.0
86,0,0.014794082,65,0,3.69e-05,27083.0,1,0,0,0,2.0
87,0,0.269170677,41,1,0.549661646,4580.0,14,0,1,0,0.0
88,0,0.251533543,69,1,0.377009839,4166.0,10,0,1,0,3.0
89,0,0.268852183,72,0,1824.0,,10,0,1,0,0.0
90,1,0.235062839,47,1,0.382231405,6291.0,5,0,1,0,3.0
