,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0,0.007859269,74,0,0.002735978,2192.0,3,0,0,0,0.0
1,0,0.136206955,39,1,0.317201276,5330.0,8,0,1,0,4.0
2,0,0.12234826,65,0,0.694061188,5000.0,18,0,2,0,0.0
3,1,0.9999999,58,0,0.003552972,3095.0,0,2,0,0,2.0
4,0,0.001279966,75,0,0.440616967,5834.0,12,0,1,1,0.0
5,0,0.981514513,46,3,0.687815001,3372.0,8,0,1,0,2.0
6,0,0.9999999,70,0,0.175786221,5500.0,3,0,1,0,0.0
7,0,0.0009999,34,0,1743.0,,5,0,1,0,
8,0,0.003708653,76,0,0.242375602,5606.0,6,0,1,0,1.0
9,1,0.427799297,52,0,0.266577807,3000.0,6,1,1,0,0.0
10,0,0.0,84,0,0.188712522,1700.0,5,0,0,0,0.0
11,0,0.9999999,61,0,0.0,,0,1,0,0,0.0
12,0,0.145492376,33,0,0.791302174,4000.0,8,0,2,0,0.0
13,0,0.9999999,29,0,0.067060086,3727.0,1,0,0,0,2.0
14,0,0.0,27,0,0.148227139,3750.0,9,0,0,0,0.0
15,0,0.324193516,41,0,0.132512367,9500.0,9,0,0,0,0.0
16,1,0.961293067,25,0,0.100346021,2600.0,5,0,0,0,0.0
17,0,0.00889911,61,0,2.0,,2,0,0,0,0.0
18,0,0.657241316,76,0,0.890057864,1900.0,20,0,1,0,0.0
19,0,0.9999999,57,0,0.0,,0,0,0,0,
20,0,0.2670805,51,0,0.841945289,6250.0,25,0,3,0,3.0
21,0,0.0,40,0,0.27267804,3692.0,9,0,0,0,0.0
22,0,0.00112156,54,0,0.605776861,6300.0,15,0,2,0,1.0
23,0,0.118219474,58,0,0.624572149,5550.0,23,0,2,0,0.0
